outcome_row_id,headcount_row_id,match_method,match_score,candidate_count,review_needed,match_evidence,candidate_preview,headcount_match_flag
OC2024_00001,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00002,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00003,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00004,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00005,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00006,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00007,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00008,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00009,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00010,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00011,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00012,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00013,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00014,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00095,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00096,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00097,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00098,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00099,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00100,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00101,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00102,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00103,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00104,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00105,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00106,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00107,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00108,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00109,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00110,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
OC2024_00111,,unmatched,,0,True,no exact/fuzzy candidate within same normalized school and campus scope,,False
