학교명,학과_계열,입결_프록시,admission_metric_family_used_v2,admission_metric_source_used_v2,admission_source_rows_v2,admission_source_units_v2,admission_recruitment_n_sum_v2
가천대학교,간호,88.92,percentile,header_percentile,1,간호학과,61.0
가천대학교,건축,83.87,percentile,header_percentile,1,건축학부,53.0
가천대학교,경영,82.3,percentile,header_percentile,1,경영학부,86.0
가천대학교,경제,82.15,percentile,header_percentile,1,경제학과,17.0
가천대학교,경찰행정,83.7,percentile,header_percentile,1,경찰행정학과,16.0
가천대학교,관광경영,81.5,percentile,header_percentile,1,관광경영학과,17.0
가천대학교,금융・빅데이터,83.6,percentile,header_percentile,1,금융 · 빅데이터학부,40.0
가천대학교,도시계획・조경,82.77,percentile,header_percentile,1,도시계획 · 조경학부,33.0
가천대학교,물리,82.12,percentile,header_percentile,1,물리학과,17.0
가천대학교,물리치료,86.4,percentile,header_percentile,1,물리치료학과,14.0
가천대학교,미디어커뮤니케이션,82.55,percentile,header_percentile,1,미디어커뮤니케이션학과,21.0
가천대학교,바이오나노,84.75,percentile,header_percentile,1,바이오나노학과,16.0
가천대학교,반도체・전자공,84.85,percentile,header_percentile,1,반도체 · 전자공학부,102.0
가천대학교,방사선,87.15,percentile,header_percentile,1,방사선학과,14.0
가천대학교,법,81.2,percentile,header_percentile,1,법학과,46.0
가천대학교,사회복지,81.6,percentile,header_percentile,1,사회복지학과,16.0
가천대학교,생명과,84.18,percentile,header_percentile,1,생명과학과,17.0
가천대학교,설비·소방공,83.78,percentile,header_percentile,1,설비 · 소방공학과,16.0
가천대학교,스마트시티,84.08,percentile,header_percentile,1,스마트시티학과,19.0
가천대학교,식품생명공,84.4,percentile,header_percentile,1,식품생명공학과,16.0
가천대학교,식품영양,84.25,percentile,header_percentile,1,식품영양학과,16.0
가천대학교,신소재공,81.4,percentile,header_percentile,1,신소재공학과,18.0
가천대학교,심리,83.05,percentile,header_percentile,1,심리학과,18.0
가천대학교,약,96.85,percentile,header_percentile,1,약학과,15.0
가천대학교,운동재활,82.08,percentile,header_percentile,1,운동재활학과,14.0
가천대학교,유아교육,81.25,percentile,header_percentile,1,유아교육학과,22.0
가천대학교,응급구조,82.54,percentile,header_percentile,1,응급구조학과,10.0
가천대학교,응용통계,82.3,percentile,header_percentile,1,응용통계학과,16.0
가천대학교,의공,84.65,percentile,header_percentile,1,의공학과,19.0
가천대학교,의료산업경영,82.45,percentile,header_percentile,1,의료산업경영학과,17.0
가천대학교,의예과,98.8,percentile,header_percentile,1,의예과,15.0
가천대학교,전기공,85.32,percentile,header_percentile,1,전기공학과,29.0
가천대학교,체육,70.75,percentile,header_percentile,2,체육학부 ( 체육 ) | 체육학부 ( 태권도 ),20.0
가천대학교,치위생,79.84,percentile,header_percentile,1,치위생학과,15.0
가천대학교,클라우드공,90.95,percentile,header_percentile,1,클라우드공학과,9.0
가천대학교,토목환경공,83.53,percentile,header_percentile,1,토목환경공학과,18.0
가천대학교,패션산업,82.15,percentile,header_percentile,1,패션산업학과,13.0
가천대학교,한국어문,81.6,percentile,header_percentile,1,한국어문학과,18.0
가천대학교,한의예과,98.79999999999998,percentile,header_percentile,1,한의예과,21.0
가천대학교,행정,81.85,percentile,header_percentile,1,행정학과,18.0
가천대학교,화,84.18,percentile,header_percentile,1,화학과,17.0
가천대학교,화공생명배터리공,84.9,percentile,header_percentile,1,화공생명배터리공학부,82.0
가톨릭대학교,국어국문,77.67,percentile,header_percentile,1,국어국문학과,38.0
강원대학교,AI융합,76.38,percentile,header_percentile,1,AI 융합학과,13.0
강원대학교,가정교육과,74.25,percentile,header_percentile,1,가정교육과,5.0
강원대학교,간호,81.0,percentile,header_percentile,1,간호학과,28.0
강원대학교,건축,77.13,percentile,header_percentile,1,건축학과 (5 년제 ),6.0
강원대학교,건축·토목·환경공,73.5,percentile,header_percentile,1,건축 · 토목 · 환경공학부,32.0
강원대학교,경영·회계,74.63,percentile,header_percentile,1,경영 · 회계학부,63.0
강원대학교,과학교육,74.5,percentile,header_percentile,1,과학교육학부,15.0
강원대학교,관광경영,76.75,percentile,header_percentile,1,관광경영학과,6.0
강원대학교,교육,76.5,percentile,header_percentile,1,교육학과,6.0
강원대학교,국어교육과,74.38,percentile,header_percentile,1,국어교육과,14.0
강원대학교,국제무역,74.5,percentile,header_percentile,1,국제무역학과,11.0
강원대학교,기계의용・메카트로닉스공,73.63,percentile,header_percentile,1,기계의용 · 메카트로닉스공학과,26.0
강원대학교,동물산업융합,72.0,percentile,header_percentile,1,동물산업융합학과,7.0
강원대학교,동물응용과,73.0,percentile,header_percentile,1,동물응용과학과,10.0
강원대학교,동물자원과,73.5,percentile,header_percentile,1,동물자원과학과,12.0
강원대학교,디지털밀리터리,73.38,percentile,header_percentile,1,디지털밀리터리학과,3.0
강원대학교,문화인류,74.88,percentile,header_percentile,1,문화인류학과,6.0
강원대학교,미디어커뮤니케이션,77.88,percentile,header_percentile,1,미디어커뮤니케이션학과,5.0
강원대학교,바이오산업공,72.63,percentile,header_percentile,1,바이오산업공학부,10.0
강원대학교,반도체물리,75.76960309777347,score_ratio_normalized,score_to_max_ratio,1,반도체물리학과,2.0
강원대학교,배터리융합공,74.0,percentile,header_percentile,1,배터리융합공학과,7.0
강원대학교,부동산,75.63,percentile,header_percentile,1,부동산학과,6.0
강원대학교,분자생명과,72.25,percentile,header_percentile,1,분자생명과학과,7.0
강원대학교,사회,71.13,percentile,header_percentile,1,사회학과,7.0
강원대학교,생명건강공,71.63,percentile,header_percentile,1,생명건강공학과,6.0
강원대학교,생명과,73.25,percentile,header_percentile,1,생명과학과,6.0
강원대학교,생물의소재공,73.38,percentile,header_percentile,1,생물의소재공학과,6.0
강원대학교,생태조경디자인,76.88,percentile,header_percentile,1,생태조경디자인학과,7.0
강원대학교,수,73.88,percentile,header_percentile,1,수학과,7.0
강원대학교,수의예과,97.5,percentile,header_percentile,1,수의예과,10.0
강원대학교,수학교육과,72.0,percentile,header_percentile,1,수학교육과,10.0
강원대학교,스포츠과,59.25,percentile,header_percentile,1,스포츠과학과,18.0
강원대학교,약,97.37999999999998,percentile,header_percentile,1,약학과,15.0
강원대학교,역사교육과,74.38,percentile,header_percentile,1,역사교육과,9.0
강원대학교,영상문화,75.38,percentile,header_percentile,1,영상문화학과,13.0
강원대학교,영어교육과,76.0,percentile,header_percentile,1,영어교육과,10.0
강원대학교,윤리교육과,77.88,percentile,header_percentile,1,윤리교육과,4.0
강원대학교,인문,73.25,percentile,header_percentile,1,인문학부,59.0
강원대학교,일반사회교육과,76.88,percentile,header_percentile,1,일반사회교육과,8.0
강원대학교,전기전자공,76.25,percentile,header_percentile,1,전기전자공학과,24.0
강원대학교,전자공,78.0,percentile,header_percentile,1,전자공학과,9.0
강원대학교,정치외교,75.0,percentile,header_percentile,1,정치외교학과,7.0
강원대학교,지리교육과,75.63,percentile,header_percentile,1,지리교육과,3.0
강원대학교,지역건설공,72.75,percentile,header_percentile,1,지역건설공학과,6.0
강원대학교,체육교육과,68.88,percentile,header_percentile,1,체육교육과,12.0
강원대학교,컴퓨터공,74.75,percentile,header_percentile,1,컴퓨터공학과,39.0
강원대학교,한문교육과,74.25,percentile,header_percentile,1,한문교육과,6.0
강원대학교,행정.심리,76.75,percentile,header_percentile,1,행정 · 심리학부,23.0
건국대학교,건축,89.25,percentile,header_percentile,1,건축학부,39.0
건국대학교,경영,91.5,percentile,header_percentile,1,경영학과,66.0
건국대학교,경제,81.0,percentile,header_percentile,1,경제학과,33.0
건국대학교,교육공,79.5,percentile,header_percentile,1,교육공학과,13.0
건국대학교,국어국문,84.0,percentile,header_percentile,1,국어국문학과,13.0
건국대학교,국제무역,88.25,percentile,header_percentile,1,국제무역학과,33.0
건국대학교,글로벌비즈니스,83.75,percentile,header_percentile,1,글로벌비즈니스학과,4.0
건국대학교,기계항공공,85.25,percentile,header_percentile,1,기계항공공학부,90.0
건국대학교,기술경영,87.25,percentile,header_percentile,1,기술경영학과,19.0
건국대학교,동물자원과,89.75,percentile,header_percentile,1,동물자원과학과,21.0
건국대학교,문화콘텐츠,83.5,percentile,header_percentile,1,문화콘텐츠학과,9.0
건국대학교,물리,85.75,percentile,header_percentile,1,물리학과,13.0
건국대학교,미디어커뮤니케이션,90.75,percentile,header_percentile,1,미디어커뮤니케이션학과,8.0
건국대학교,미래에너지공,89.0,percentile,header_percentile,1,미래에너지공학과,13.0
건국대학교,부동산,89.25,percentile,header_percentile,1,부동산학과,16.0
건국대학교,사,87.25,percentile,header_percentile,1,사학과,8.0
건국대학교,사회환경공,82.5,percentile,header_percentile,1,사회환경공학부,45.0
건국대학교,산림조경,86.5,percentile,header_percentile,1,산림조경학과,10.0
건국대학교,산업공,85.75,percentile,header_percentile,1,산업공학과,22.0
건국대학교,생명과학특성,88.25,percentile,header_percentile,1,생명과학특성학과,14.0
건국대학교,생물공,89.75,percentile,header_percentile,1,생물공학과,13.0
건국대학교,수,88.25,percentile,header_percentile,1,수학과,10.0
건국대학교,수학교육과,91.25,percentile,header_percentile,1,수학교육과,8.0
건국대학교,스마트ICT융합공,89.0,percentile,header_percentile,1,스마트 ICT 융합공학과,19.0
건국대학교,스마트운행체공,90.25,percentile,header_percentile,1,스마트운행체공학과,21.0
건국대학교,시스템생명공,90.25,percentile,header_percentile,1,시스템생명공학과,16.0
건국대학교,식량자원과,87.5,percentile,header_percentile,1,식량자원과학과,15.0
건국대학교,식품유통공,90.5,percentile,header_percentile,1,식품유통공학과,12.0
건국대학교,영어교육과,89.5,percentile,header_percentile,1,영어교육과,9.0
건국대학교,영어영문,85.0,percentile,header_percentile,1,영어영문학과,18.0
건국대학교,융합생명공,91.25,percentile,header_percentile,1,융합생명공학과,15.0
건국대학교,융합인재,81.5,percentile,header_percentile,1,융합인재학과,17.0
건국대학교,응용통계,89.0,percentile,header_percentile,1,응용통계학과,20.0
건국대학교,의생명공,92.0,percentile,header_percentile,1,의생명공학과,11.0
건국대학교,일어교육과,89.75,percentile,header_percentile,1,일어교육과,3.0
건국대학교,전기전자공,87.0,percentile,header_percentile,1,전기전자공학부,93.0
건국대학교,정치외교,81.0,percentile,header_percentile,1,정치외교학과,13.0
건국대학교,줄기세포재생공,88.75,percentile,header_percentile,1,줄기세포재생공학과,11.0
건국대학교,중어중문,87.5,percentile,header_percentile,1,중어중문학과,15.0
건국대학교,지리,81.25,percentile,header_percentile,1,지리학과,4.0
건국대학교,철,91.0,percentile,header_percentile,1,철학과,3.0
건국대학교,축산식품생명공,87.25,percentile,header_percentile,1,축산식품생명공학과,22.0
건국대학교,컴퓨터공,90.5,percentile,header_percentile,1,컴퓨터공학부,62.0
건국대학교,행정,89.25,percentile,header_percentile,1,행정학과,26.0
건국대학교,화,87.0,percentile,header_percentile,1,화학과,9.0
건국대학교,화장품공,87.75,percentile,header_percentile,1,화장품공학과,13.0
건국대학교,화학공,92.25,percentile,header_percentile,1,화학공학부,57.0
