model,feature,role,exists
P3-S-FULL,major_group_7,categorical,True
P3-S-FULL,school_type,categorical,True
P3-S-FULL,region_sido,categorical,True
P3-S-FULL,campus_branch,categorical,True
P3-S-FULL,credit_forfeit_flag,categorical,True
P3-S-FULL,female_student_share_pct,numeric,True
P3-S-FULL,international_student_share_pct,numeric,True
P3-S-FULL,leave_rate_pct,numeric,True
P3-S-FULL,student_faculty_ratio,numeric,True
P3-S-FULL,fulltime_faculty_share_pct,numeric,True
P3-S-FULL,log_enrolled_students,numeric,True
P3-S-FULL,log_graduates,numeric,True
P3-S-NOPOLICY,major_group_7,categorical,True
P3-S-NOPOLICY,school_type,categorical,True
P3-S-NOPOLICY,region_sido,categorical,True
P3-S-NOPOLICY,campus_branch,categorical,True
P3-S-NOPOLICY,female_student_share_pct,numeric,True
P3-S-NOPOLICY,international_student_share_pct,numeric,True
P3-S-NOPOLICY,leave_rate_pct,numeric,True
P3-S-NOPOLICY,student_faculty_ratio,numeric,True
P3-S-NOPOLICY,fulltime_faculty_share_pct,numeric,True
P3-S-NOPOLICY,log_enrolled_students,numeric,True
P3-S-NOPOLICY,log_graduates,numeric,True
