variable,label_ko,measurement_level,analysis_role,note,exists_in_table,missing_n,unique_n
rank_2024_raw,2024년 순위 원점수,ordinal,predictor,숫자가 작을수록 상위. 입결점수 아님,True,0,47
rank_pct_2024,2024년 상대순위,ordinal_numeric,predictor,"0=최상위, 1=최하위",True,0,47
prestige_score,상위도 점수,ordinal_numeric,predictor,"1=최상위, 0=최하위",True,0,47
credit_forfeit_bin,학점포기제 O=1,binary_nominal,predictor,정책 기준연도·세부강도 미확인,True,4,2
credit_forfeit_raw,학점포기제 O/X,nominal,predictor,O/X/결측,True,4,2
a_rate_pct,A비율,continuous_ratio_pct,primary_target,2024년 정규 1·2학기,True,0,47
b_rate_pct,B비율,continuous_ratio_pct,composition,성적구성 100% 비율,True,0,47
c_rate_pct,C비율,continuous_ratio_pct,composition,성적구성 100% 비율,True,0,47
d_rate_pct,D비율,continuous_ratio_pct,composition,성적구성 100% 비율,True,0,47
f_rate_pct,F비율,continuous_ratio_pct,composition,성적구성 100% 비율,True,0,47
df_rate_pct,D+F비율,continuous_ratio_pct,secondary_signal,낮은 성취/낙제권 보조지표,True,0,47
official_employment_rate_pct,공식취업률,continuous_ratio_pct,secondary_target,취업성과,True,0,47
health_employment_rate_pct,건보직장가입 취업률,continuous_ratio_pct,secondary_target,취업성과,True,0,47
retention_4th_pct,4차 유지취업률,continuous_ratio_pct,secondary_target,고용 유지성과,True,0,47
overall_advancement_rate_pct,전체 진학률,continuous_ratio_pct,secondary_target,진학성과,True,0,47
graduate_school_rate_pct,대학원 진학률,continuous_ratio_pct,secondary_target,진학성과,True,0,47
a_rate_expected_by_rank_pct,서열기대 A비율,continuous_ratio_pct,model_fitted,A~상위도 회귀 적합값,True,0,47
a_rate_residual_pctp,서열 대비 A비율 잔차,continuous_difference_pctp,engineered_signal,음수=예상보다 A 낮음,True,0,47
a_residual_group,A잔차 3분위 그룹,ordinal_category,engineered_group,낮음/중간/높음,True,0,3
rank_quartile,순위 4분위,ordinal_category,engineered_group,상위~하위 급간,True,0,4
campus_status,캠퍼스 처리상태,nominal,quality_flag,주 분석은 본교/미구분,True,0,1
match_status,병합 상태,nominal,quality_flag,matched/missing_policy,True,0,2
