audit_type,flag,group_col,group_value,n,observed_rate,feature,smd,median_diff,ks_statistic,cramers_v,abs_smd,observed_rate_num,n_num,ks_num,cramers_num,human_missingness_decision,impute_or_exclude_policy,sample_restriction_needed,reviewer_note
group_observation_rate,has_selectivity,region_sido,울산,92.0,0.0326086956521739,,,,,,,0.0326086956521739,92.0,,,,,,
group_observation_rate,has_selectivity,school_type,각종대학(대학),29.0,0.0,,,,,,,0.0,29.0,,,,,,
group_observation_rate,has_selectivity,school_type,교육대학,123.0,0.008130081300813,,,,,,,0.008130081300813,123.0,,,,,,
group_observation_rate,has_selectivity,school_type,방송통신대학교,27.0,0.0,,,,,,,0.0,27.0,,,,,,
numeric_observed_vs_unobserved,has_selectivity,,,,,has_selectivity,,1.0,1.0,,,,,1.0,,,,,
numeric_observed_vs_unobserved,has_selectivity,,,,,admission_capacity_n,0.1570098928984071,40.0,0.6887072177692,,0.1570098928984071,,,0.6887072177692,,,,,
numeric_observed_vs_unobserved,has_selectivity,,,,,recruitment_n,0.1533250644802032,42.0,0.6547928847032093,,0.1533250644802032,,,0.6547928847032093,,,,,
numeric_observed_vs_unobserved,has_selectivity,,,,,applicants_n,0.7901784497911345,308.0,0.6806534781179718,,0.7901784497911345,,,0.6806534781179718,,,,,
numeric_observed_vs_unobserved,has_selectivity,,,,,admits_n,0.7632249674348867,41.0,0.6248541583626361,,0.7632249674348867,,,0.6248541583626361,,,,,
numeric_observed_vs_unobserved,has_selectivity,,,,,admit_per_applicant_ratio,-0.5712520480155945,-0.0402859896421432,0.2360873222351074,,0.5712520480155945,,,0.2360873222351074,,,,,
categorical_cramers_v,has_selectivity,,,,,major_group_7,,,,0.1689173080258867,,,,,0.1689173080258867,,,,
categorical_cramers_v,has_selectivity,,,,,region_sido,,,,0.1930027024136487,,,,,0.1930027024136487,,,,
categorical_cramers_v,has_selectivity,,,,,school_type,,,,0.1099459283724921,,,,,0.1099459283724921,,,,
group_observation_rate,has_employment,school_type,각종대학(대학),29.0,0.9655172413793104,,,,,,,0.9655172413793104,29.0,,,,,,
group_observation_rate,has_employment,school_type,교육대학,123.0,1.0,,,,,,,1.0,123.0,,,,,,
group_observation_rate,has_employment,school_type,방송통신대학교,27.0,1.0,,,,,,,1.0,27.0,,,,,,
numeric_observed_vs_unobserved,has_employment,,,,,progression_rate_pct,-0.7359246015548706,-10.262286186218262,0.3446992635726928,,0.7359246015548706,,,0.3446992635726928,,,,,
numeric_observed_vs_unobserved,has_employment,,,,,domestic_progression_rate_pct,-0.7378748059272766,-10.346319198608398,0.3456093072891235,,0.7378748059272766,,,0.3456093072891235,,,,,
numeric_observed_vs_unobserved,has_employment,,,,,has_employment,,1.0,1.0,,,,,1.0,,,,,
numeric_observed_vs_unobserved,has_employment,,,,,has_progression,7.382478093498334,1.0,0.9646191646191646,,7.382478093498334,,,0.9646191646191646,,,,,
numeric_observed_vs_unobserved,has_employment,,,,,graduates_n,0.6151877664550554,30.0,0.9216573475682932,,0.6151877664550554,,,0.9216573475682932,,,,,
categorical_cramers_v,has_employment,,,,,major_group_7,,,,0.1396849052990469,,,,,0.1396849052990469,,,,
categorical_cramers_v,has_employment,,,,,region_sido,,,,0.133498124008615,,,,,0.133498124008615,,,,
group_observation_rate,has_progression,school_type,각종대학(대학),29.0,1.0,,,,,,,1.0,29.0,,,,,,
group_observation_rate,has_progression,school_type,교육대학,123.0,1.0,,,,,,,1.0,123.0,,,,,,
group_observation_rate,has_progression,school_type,방송통신대학교,27.0,1.0,,,,,,,1.0,27.0,,,,,,
numeric_observed_vs_unobserved,has_progression,,,,,has_employment,12.352477187099083,1.0,0.9870643190801294,,12.352477187099083,,,0.9870643190801294,,,,,
numeric_observed_vs_unobserved,has_progression,,,,,has_progression,,1.0,1.0,,,,,1.0,,,,,
numeric_observed_vs_unobserved,has_progression,,,,,graduates_n,0.6296163907092743,30.0,0.9583886925234874,,0.6296163907092743,,,0.9583886925234874,,,,,
