priority,issue_type,path,item,why_not_auto_fixed,human_needed,recommended_default
P1,source_unavailable_all_null,workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv,"ctx24_industry_hhi (datasets=D04,D08_v2; missing_n_sum=10256)",원천 변수 자체가 관련 산출물에서 전부 비어 있어 행 삭제로 해결되지 않는다.,"해당 변수를 재수집/재생성할지, 분석 범위에서 영구 제외할지 결정",exclude_from_features_until_source_exists
P1,source_unavailable_all_null,workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv,"ctx24_industry_top3_pct (datasets=D04,D08_v2; missing_n_sum=10256)",원천 변수 자체가 관련 산출물에서 전부 비어 있어 행 삭제로 해결되지 않는다.,"해당 변수를 재수집/재생성할지, 분석 범위에서 영구 제외할지 결정",exclude_from_features_until_source_exists
P1,missing_panel_source,workbook/p2/p2_3/p4_handoff_candidate/shared/mart_department_panel_2023_2025.parquet,mart_department_panel_2023_2025,2023-2025 panel/transition parquet 자체가 존재하지 않는다.,"패널 트랙을 만들지, 이번 P4에서 제외할지 결정",keep_panel_track_blocked
P1,missing_panel_source,workbook/p2/p2_3/p4_handoff_candidate/shared/mart_A_rate_transition_2023_2025.parquet,mart_A_rate_transition_2023_2025,2023-2025 panel/transition parquet 자체가 존재하지 않는다.,"패널 트랙을 만들지, 이번 P4에서 제외할지 결정",keep_panel_track_blocked
P2,bridge_design_required,workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv,D05 job_cert columns,직무분류 기반 데이터라 학과행에 직접 조인하면 축이 맞지 않는다.,직무분류->계열/학과 브리지 키와 집계 수준 설계,do_not_join_D05_directly
P2,historical_2023_target_unavailable,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,domestic_progression_rate_pct,2023 확장 표본 11287행에서 해당 타깃 컬럼이 전부 비어 있다.,2023 원천에서 해당 변수를 만들 수 있는지 확인하거나 2023 분석에서 제외,exclude_2023_column_from_target_analysis
P2,historical_2023_target_unavailable,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,graduate_school_progression_rate_pct,2023 확장 표본 11287행에서 해당 타깃 컬럼이 전부 비어 있다.,2023 원천에서 해당 변수를 만들 수 있는지 확인하거나 2023 분석에서 제외,exclude_2023_column_from_target_analysis
P2,historical_2023_target_unavailable,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,health_employment_rate_pct,2023 확장 표본 11287행에서 해당 타깃 컬럼이 전부 비어 있다.,2023 원천에서 해당 변수를 만들 수 있는지 확인하거나 2023 분석에서 제외,exclude_2023_column_from_target_analysis
P2,historical_2023_target_unavailable,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,overseas_progression_rate_pct,2023 확장 표본 11287행에서 해당 타깃 컬럼이 전부 비어 있다.,2023 원천에서 해당 변수를 만들 수 있는지 확인하거나 2023 분석에서 제외,exclude_2023_column_from_target_analysis
P2,historical_2023_target_unavailable,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,progression_rate_pct,2023 확장 표본 11287행에서 해당 타깃 컬럼이 전부 비어 있다.,2023 원천에서 해당 변수를 만들 수 있는지 확인하거나 2023 분석에서 제외,exclude_2023_column_from_target_analysis
P2,historical_2023_target_unavailable,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,selectivity_proxy_pct,2023 확장 표본 11287행에서 해당 타깃 컬럼이 전부 비어 있다.,2023 원천에서 해당 변수를 만들 수 있는지 확인하거나 2023 분석에서 제외,exclude_2023_column_from_target_analysis
P2,historical_2023_target_unavailable,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,university_progression_rate_pct,2023 확장 표본 11287행에서 해당 타깃 컬럼이 전부 비어 있다.,2023 원천에서 해당 변수를 만들 수 있는지 확인하거나 2023 분석에서 제외,exclude_2023_column_from_target_analysis
P2,historical_2023_target_unavailable,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,vocational_college_progression_rate_pct,2023 확장 표본 11287행에서 해당 타깃 컬럼이 전부 비어 있다.,2023 원천에서 해당 변수를 만들 수 있는지 확인하거나 2023 분석에서 제외,exclude_2023_column_from_target_analysis
