column_order,column,role,dtype,non_null_n,missing_n,missing_pct,unique_n,sample_values
1,연도,id/time,Int64,35431,0,0.0,1,2024
2,학제,id/category,string,35431,0,0.0,18,대학교 | 일반대학원 | 특수대학원 | 전문대학원 | 교육대학
3,대학원구분,id/category,string,12674,22757,64.2290649431289,2,부설대학원 | 대학원대학
4,학교명,id/category,string,35431,0,0.0,1693,국립강릉원주대학교 | 국립강릉원주대학교대학원 | 국립강릉원주대학교경영정책과학대학원 | 국립강릉원주대학교교육대학원 | 국립강릉원주대학교산업대학원
5,학교상태,id/category,string,35431,0,0.0,4,학교명변경 | 기존 | 폐교 | 신설
6,본분교,id/category,string,35431,0,0.0,5,본교(제1캠퍼스) | 본교(제2캠퍼스) | 본교(제3캠퍼스) | 분교(제1캠퍼스) | 본교(제4캠퍼스)
7,시도,id/category,string,35431,0,0.0,17,강원 | 대구 | 경북 | 경남 | 충남
8,시군구,id/category,string,35431,0,0.0,163,강원 강릉시 | 강원 원주시 | 강원 춘천시 | 강원 삼척시 | 대구 북구
9,설립,id/category,string,35431,0,0.0,7,국립 | 국립대법인 | 공립 | 사립 | 특별법법인
10,주야구분,id/category,string,35431,0,0.0,11,주간 | 야간 | 야간+계절제 | 주야간 | 계절제
11,주소,id/category,string,35431,0,0.0,651,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교) | 강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스) | 강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교치과병원) | 강원도 춘천시 강원대학길 1 (효자동, 강원대학교) | 강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)"
12,우편번호,id/category,string,35431,0,0.0,507,25457 | 26403 | 24341 | 25913 | 41566
13,전화번호,id/category,string,34189,1242,3.505404871440264,1065,033-640-7001 | 033-760-8114 | 033-640-2077 | 033-640-2081 | 033-640-2087
14,팩스번호,id/category,string,30613,4818,13.598261409500157,900,033-643-7110 | 033-760-8019 | 033-251-9556 | 033-572-8620 | 033-259-5527
15,홈페이지,id/category,string,34418,1013,2.8590782083486213,1233,www.gwnu.ac.kr | www.kangwon.ac.kr/ | graduate.kangwon.ac.kr/index.php | gsba.kangwon.ac.kr/ | edugradu.kangwon.ac.kr/
16,학위과정,id/category,string,35431,0,0.0,3,대학과정 | 대학원과정 | 전문대학과정
17,대계열,id/category,string,34969,462,1.3039428748835764,7,인문계열 | 사회계열 | 교육계열 | 공학계열 | 자연계열
18,중계열,id/category,string,34969,462,1.3039428748835764,36,언어ㆍ문학 | 인문과학 | 경영ㆍ경제 | 법률 | 사회과학
19,소계열,id/category,string,34969,462,1.3039428748835764,188,국어ㆍ국문학 | 중국어ㆍ문학 | 영미어ㆍ문학 | 독일어ㆍ문학 | 역사ㆍ고고학
20,학과코드,id/category,string,35431,0,0.0,16964,U01010200008 | U01010400016 | U01010600018 | U01010700003 | U01020400006
21,학과명,id/category,string,35431,0,0.0,15044,국어국문학과 | 중어중문학과 | 영어영문학과 | 독어독문학과 | 사학과
22,학과수_전체,measure,int64,35431,0,0.0,9,1 | 0 | 2 | 3 | 4
23,학과수_석사,measure,int64,35431,0,0.0,4,0 | 1 | 2 | 3
24,학과수_박사,measure,int64,35431,0,0.0,4,0 | 1 | 2 | 3
25,입학정원_학부_계,measure,int64,35431,0,0.0,331,29 | 26 | 32 | 0 | 21
26,정원내_입학정원_학부,measure,int64,35431,0,0.0,327,29 | 26 | 32 | 0 | 21
27,정원외_입학정원_학부,measure,int64,35431,0,0.0,61,0 | 26 | 24 | 15 | 10
28,모집인원_학부_계,measure,int64,35431,0,0.0,389,29 | 26 | 32 | 0 | 21
29,정원내_모집인원_학부,measure,int64,35431,0,0.0,323,29 | 26 | 32 | 0 | 21
30,정원외_모집정원_학부,measure,int64,35431,0,0.0,198,0 | 66 | 1 | 3 | 2
31,지원자_전체_계,measure,int64,35431,0,0.0,1572,111 | 120 | 116 | 0 | 102
32,지원자_전체_남,measure,int64,35431,0,0.0,1008,47 | 50 | 54 | 0 | 64
33,지원자_전체_여,measure,int64,35431,0,0.0,1101,64 | 70 | 62 | 0 | 38
34,지원자_석사_계,measure,int64,35431,0,0.0,307,0 | 5 | 1 | 8 | 11
35,지원자_석사_남,measure,int64,35431,0,0.0,195,0 | 3 | 1 | 4 | 2
36,지원자_석사_여,measure,int64,35431,0,0.0,223,0 | 2 | 5 | 10 | 6
37,지원자_박사_계,measure,int64,35431,0,0.0,127,0 | 1 | 2 | 6 | 5
38,지원자_박사_남,measure,int64,35431,0,0.0,88,0 | 2 | 1 | 5 | 10
39,지원자_박사_여,measure,int64,35431,0,0.0,76,0 | 1 | 4 | 3 | 9
40,입학자_전체_계,measure,int64,35431,0,0.0,355,31 | 26 | 34 | 0 | 23
41,입학자_전체_남,measure,int64,35431,0,0.0,233,13 | 12 | 17 | 0 | 15
42,입학자_전체_여,measure,int64,35431,0,0.0,259,18 | 14 | 17 | 0 | 8
43,입학자_석사_계,measure,int64,35431,0,0.0,167,0 | 3 | 1 | 5 | 9
44,입학자_석사_남,measure,int64,35431,0,0.0,102,0 | 2 | 1 | 3 | 4
45,입학자_석사_여,measure,int64,35431,0,0.0,106,0 | 1 | 3 | 8 | 6
46,입학자_박사_계,measure,int64,35431,0,0.0,87,0 | 1 | 5 | 2 | 4
47,입학자_박사_남,measure,int64,35431,0,0.0,64,0 | 1 | 2 | 4 | 10
48,입학자_박사_여,measure,int64,35431,0,0.0,49,0 | 1 | 4 | 3 | 2
49,정원내_입학자_전체_계,measure,int64,35431,0,0.0,308,29 | 26 | 32 | 0 | 21
50,정원내_입학자_전체_남,measure,int64,35431,0,0.0,211,13 | 12 | 15 | 0 | 11
51,정원내_입학자_전체_여,measure,int64,35431,0,0.0,226,16 | 14 | 17 | 0 | 8
52,정원내_입학자_학부_계,measure,int64,35431,0,0.0,301,29 | 26 | 32 | 0 | 21
53,정원내_입학자_학부_남,measure,int64,35431,0,0.0,207,13 | 12 | 15 | 0 | 11
54,정원내_입학자_학부_여,measure,int64,35431,0,0.0,223,16 | 14 | 17 | 0 | 8
55,정원내_입학자_석사_계,measure,int64,35431,0,0.0,139,0 | 1 | 5 | 2 | 3
56,정원내_입학자_석사_남,measure,int64,35431,0,0.0,92,0 | 1 | 2 | 3 | 4
57,정원내_입학자_석사_여,measure,int64,35431,0,0.0,92,0 | 3 | 1 | 2 | 4
58,정원내_입학자_박사_계,measure,int64,35431,0,0.0,75,0 | 1 | 5 | 2 | 4
59,정원내_입학자_박사_남,measure,int64,35431,0,0.0,59,0 | 1 | 2 | 4 | 9
60,정원내_입학자_박사_여,measure,int64,35431,0,0.0,39,0 | 1 | 4 | 3 | 2
61,정원외_입학자_전체_계,measure,int64,35431,0,0.0,168,2 | 0 | 4 | 1 | 5
