null_column,null_interpretation,연도,학제,대학원구분,학교명,본분교,시도,학위과정,대계열,중계열,소계열,학과코드,학과명,학과수_전체,입학정원_학부_계,지원자_전체_계,재적생_전체_계
대학원구분,"비대학원 행이면 해당없음, 대학원 행이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,인문계열,언어ㆍ문학,국어ㆍ국문학,U01010200008,국어국문학과,1,29,111,152
대학원구분,"비대학원 행이면 해당없음, 대학원 행이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,인문계열,언어ㆍ문학,중국어ㆍ문학,U01010400016,중어중문학과,1,26,120,109
대학원구분,"비대학원 행이면 해당없음, 대학원 행이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,인문계열,언어ㆍ문학,영미어ㆍ문학,U01010600018,영어영문학과,1,32,116,162
대학원구분,"비대학원 행이면 해당없음, 대학원 행이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,인문계열,언어ㆍ문학,독일어ㆍ문학,U01010700003,독어독문학과,1,0,0,39
대학원구분,"비대학원 행이면 해당없음, 대학원 행이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,인문계열,인문과학,역사ㆍ고고학,U01020400006,사학과,1,21,102,115
대학원구분,"비대학원 행이면 해당없음, 대학원 행이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,인문계열,인문과학,국제지역학,U01020600060,일본학과,1,26,160,149
대학원구분,"비대학원 행이면 해당없음, 대학원 행이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,인문계열,인문과학,철학ㆍ윤리학,U01020700029,철학과,1,22,105,99
대학원구분,"비대학원 행이면 해당없음, 대학원 행이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,인문계열,인문과학,교양인문학,U01020800121,기타모집단위,0,0,0,0
대학원구분,"비대학원 행이면 해당없음, 대학원 행이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,사회계열,경영ㆍ경제,경영학,U02010100035,경영학과,1,30,251,192
대학원구분,"비대학원 행이면 해당없음, 대학원 행이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,사회계열,경영ㆍ경제,경영학,U02010100048,관광경영학과,1,43,224,255
대학원구분,"비대학원 행이면 해당없음, 대학원 행이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,사회계열,경영ㆍ경제,경제학,U02010200014,경제학과,1,23,123,172
대학원구분,"비대학원 행이면 해당없음, 대학원 행이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학,U02010500054,회계학과,1,34,143,202
전화번호,연락처/홈페이지 참조정보 누락,2024,대학교,,국립공주대학교,본교(제2캠퍼스),충남,대학과정,사회계열,경영ㆍ경제,경영학,U02010100568,융합경영학과,0,0,0,0
전화번호,연락처/홈페이지 참조정보 누락,2024,대학교,,국립공주대학교,본교(제2캠퍼스),충남,대학과정,공학계열,건축,건축ㆍ설비공학,U04010100064,건축학부 건축공학전공,1,0,0,50
전화번호,연락처/홈페이지 참조정보 누락,2024,대학교,,국립공주대학교,본교(제2캠퍼스),충남,대학과정,공학계열,건축,건축ㆍ설비공학,U04010100144,그린스마트건축공학과,1,32,271,138
전화번호,연락처/홈페이지 참조정보 누락,2024,대학교,,국립공주대학교,본교(제2캠퍼스),충남,대학과정,공학계열,건축,건축학,U04010200012,건축학과,1,32,315,230
전화번호,연락처/홈페이지 참조정보 누락,2024,대학교,,국립공주대학교,본교(제2캠퍼스),충남,대학과정,공학계열,건축,건축학,U04010200032,건축학부 건축학전공,0,0,0,0
전화번호,연락처/홈페이지 참조정보 누락,2024,대학교,,국립공주대학교,본교(제2캠퍼스),충남,대학과정,공학계열,토목ㆍ도시,토목공학,U04020100064,토목환경공학전공,1,0,0,35
전화번호,연락처/홈페이지 참조정보 누락,2024,대학교,,국립공주대학교,본교(제2캠퍼스),충남,대학과정,공학계열,토목ㆍ도시,토목공학,U04020100202,사회환경공학과,1,0,0,121
전화번호,연락처/홈페이지 참조정보 누락,2024,대학교,,국립공주대학교,본교(제2캠퍼스),충남,대학과정,공학계열,토목ㆍ도시,토목공학,U04020100214,스마트인프라공학과,1,44,359,110
전화번호,연락처/홈페이지 참조정보 누락,2024,대학교,,국립공주대학교,본교(제2캠퍼스),충남,대학과정,공학계열,토목ㆍ도시,도시공학,U04020200007,도시및교통공학전공,0,0,0,0
전화번호,연락처/홈페이지 참조정보 누락,2024,대학교,,국립공주대학교,본교(제2캠퍼스),충남,대학과정,공학계열,토목ㆍ도시,도시공학,U04020200027,도시?교통공학과,1,25,156,125
전화번호,연락처/홈페이지 참조정보 누락,2024,대학교,,국립공주대학교,본교(제2캠퍼스),충남,대학과정,공학계열,토목ㆍ도시,도시공학,U04020200058,도시융합시스템공학과,0,0,0,0
전화번호,연락처/홈페이지 참조정보 누락,2024,대학교,,국립공주대학교,본교(제2캠퍼스),충남,대학과정,공학계열,기계ㆍ금속,기계공학,U04040100013,기계공학전공,1,0,0,193
팩스번호,연락처/홈페이지 참조정보 누락,2024,일반대학원,부설대학원,국립강릉원주대학교대학원,본교(제1캠퍼스),강원,대학원과정,인문계열,언어ㆍ문학,국어ㆍ국문학,G01010200003,국어국문학과,2,0,6,9
팩스번호,연락처/홈페이지 참조정보 누락,2024,일반대학원,부설대학원,국립강릉원주대학교대학원,본교(제1캠퍼스),강원,대학원과정,인문계열,언어ㆍ문학,중국어ㆍ문학,G01010400006,중어중문학과,1,0,1,1
팩스번호,연락처/홈페이지 참조정보 누락,2024,일반대학원,부설대학원,국립강릉원주대학교대학원,본교(제1캠퍼스),강원,대학원과정,인문계열,언어ㆍ문학,영미어ㆍ문학,G01010600006,영어영문학과,1,0,0,1
팩스번호,연락처/홈페이지 참조정보 누락,2024,일반대학원,부설대학원,국립강릉원주대학교대학원,본교(제1캠퍼스),강원,대학원과정,인문계열,인문과학,문헌정보학,G01020100002,기록관리학협동과정,0,0,0,0
팩스번호,연락처/홈페이지 참조정보 누락,2024,일반대학원,부설대학원,국립강릉원주대학교대학원,본교(제1캠퍼스),강원,대학원과정,인문계열,인문과학,역사ㆍ고고학,G01020400006,사학과,1,0,8,9
팩스번호,연락처/홈페이지 참조정보 누락,2024,일반대학원,부설대학원,국립강릉원주대학교대학원,본교(제1캠퍼스),강원,대학원과정,사회계열,경영ㆍ경제,경영학,G02010100022,경영학과,2,0,11,13
팩스번호,연락처/홈페이지 참조정보 누락,2024,일반대학원,부설대학원,국립강릉원주대학교대학원,본교(제1캠퍼스),강원,대학원과정,사회계열,경영ㆍ경제,경제학,G02010200008,경제학과,1,0,1,1
팩스번호,연락처/홈페이지 참조정보 누락,2024,일반대학원,부설대학원,국립강릉원주대학교대학원,본교(제1캠퍼스),강원,대학원과정,사회계열,경영ㆍ경제,관광학,G02010300003,관광학과,2,0,9,19
팩스번호,연락처/홈페이지 참조정보 누락,2024,일반대학원,부설대학원,국립강릉원주대학교대학원,본교(제1캠퍼스),강원,대학원과정,사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학,G02010500067,회계학과,1,0,1,1
팩스번호,연락처/홈페이지 참조정보 누락,2024,일반대학원,부설대학원,국립강릉원주대학교대학원,본교(제1캠퍼스),강원,대학원과정,사회계열,경영ㆍ경제,무역ㆍ유통학,G02010600020,국제통상학과,2,0,5,11
팩스번호,연락처/홈페이지 참조정보 누락,2024,일반대학원,부설대학원,국립강릉원주대학교대학원,본교(제1캠퍼스),강원,대학원과정,사회계열,법률,법학,G02020100032,법학과,1,0,3,2
팩스번호,연락처/홈페이지 참조정보 누락,2024,일반대학원,부설대학원,국립강릉원주대학교대학원,본교(제1캠퍼스),강원,대학원과정,사회계열,사회과학,도시ㆍ지역학,G02030300096,도시계획?부동산학과,2,0,1,2
홈페이지,연락처/홈페이지 참조정보 누락,2024,대학교,,경북대학교,본교(제3캠퍼스),경북,대학과정,사회계열,경영ㆍ경제,관광학,U02010300013,관광학과,1,25,220,133
홈페이지,연락처/홈페이지 참조정보 누락,2024,대학교,,경북대학교,본교(제3캠퍼스),경북,대학과정,공학계열,건축,건축ㆍ설비공학,U04010100082,건설방재공학과,1,36,181,68
홈페이지,연락처/홈페이지 참조정보 누락,2024,대학교,,경북대학교,본교(제3캠퍼스),경북,대학과정,공학계열,건축,건축ㆍ설비공학,U04010100100,건설방재공학부,1,0,0,21
홈페이지,연락처/홈페이지 참조정보 누락,2024,대학교,,경북대학교,본교(제3캠퍼스),경북,대학과정,공학계열,건축,건축ㆍ설비공학,U04010100105,건설방재공학부 건설방재공학전공,1,0,0,123
홈페이지,연락처/홈페이지 참조정보 누락,2024,대학교,,경북대학교,본교(제3캠퍼스),경북,대학과정,공학계열,건축,건축ㆍ설비공학,U04010100106,건설방재공학부 건설환경공학전공,1,0,0,104
홈페이지,연락처/홈페이지 참조정보 누락,2024,대학교,,경북대학교,본교(제3캠퍼스),경북,대학과정,공학계열,건축,건축ㆍ설비공학,U04010100147,스마트플랜트공학과,1,29,121,55
홈페이지,연락처/홈페이지 참조정보 누락,2024,대학교,,경북대학교,본교(제3캠퍼스),경북,대학과정,공학계열,토목ㆍ도시,토목공학,U04020100047,토목공학과,0,0,0,0
홈페이지,연락처/홈페이지 참조정보 누락,2024,대학교,,경북대학교,본교(제3캠퍼스),경북,대학과정,공학계열,기계ㆍ금속,기계공학,U04040100062,정밀기계공학과,1,40,179,231
홈페이지,연락처/홈페이지 참조정보 누락,2024,대학교,,경북대학교,본교(제3캠퍼스),경북,대학과정,공학계열,기계ㆍ금속,기계공학,U04040100171,자동차공학부 지능형자동차전공,1,0,0,104
홈페이지,연락처/홈페이지 참조정보 누락,2024,대학교,,경북대학교,본교(제3캠퍼스),경북,대학과정,공학계열,기계ㆍ금속,기계공학,U04040100172,자동차공학부 친환경자동차전공,1,0,0,108
홈페이지,연락처/홈페이지 참조정보 누락,2024,대학교,,경북대학교,본교(제3캠퍼스),경북,대학과정,공학계열,기계ㆍ금속,자동차공학,U04040300004,자동차공학부,1,54,243,89
홈페이지,연락처/홈페이지 참조정보 누락,2024,대학교,,경북대학교,본교(제3캠퍼스),경북,대학과정,공학계열,정밀ㆍ에너지,에너지공학,U04060200014,에너지화학공학과,1,36,165,38
대계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,,,,Z99999999999,소속학과없음,0,0,0,0
대계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제2캠퍼스),강원,대학과정,,,,Z99999999999,소속학과없음,0,0,0,0
대계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,대학교,,강원대학교,본교(제1캠퍼스),강원,대학과정,,,,Z99999999999,소속학과없음,0,0,0,0
대계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,대학교,,강원대학교,본교(제2캠퍼스),강원,대학과정,,,,Z99999999999,소속학과없음,0,0,0,0
대계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,일반대학원,부설대학원,강원대학교일반대학원,본교(제1캠퍼스),강원,대학원과정,,,,Z99999999999,소속학과없음,0,0,0,0
대계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,특수대학원,부설대학원,강원대학교교육대학원,본교(제1캠퍼스),강원,대학원과정,,,,Z99999999999,소속학과없음,0,0,0,0
대계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,대학교,,경북대학교,본교(제1캠퍼스),대구,대학과정,,,,Z99999999999,소속학과없음,0,0,0,0
대계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,일반대학원,부설대학원,경북대학교 일반대학원,본교(제1캠퍼스),대구,대학원과정,,,,Z99999999999,소속학과없음,0,0,0,0
대계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,특수대학원,부설대학원,경북대학교 행정대학원,본교(제1캠퍼스),대구,대학원과정,,,,Z99999999999,소속학과없음,0,0,0,0
대계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,대학교,,경상국립대학교,본교(제1캠퍼스),경남,대학과정,,,,Z99999999999,소속학과없음,0,0,0,0
대계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,대학교,,경상국립대학교,본교(제2캠퍼스),경남,대학과정,,,,Z99999999999,소속학과없음,0,0,0,0
대계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,특수대학원,부설대학원,경상국립대학교 창업대학원,본교(제1캠퍼스),경남,대학원과정,,,,Z99999999999,소속학과없음,0,0,0,0
중계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제1캠퍼스),강원,대학과정,,,,Z99999999999,소속학과없음,0,0,0,0
중계열,"소속학과없음 placeholder이면 구조적, 실제 학과이면 실질결측",2024,대학교,,국립강릉원주대학교,본교(제2캠퍼스),강원,대학과정,,,,Z99999999999,소속학과없음,0,0,0,0
