column_order,column,semantic_type,category_behavior,zero_policy,null_policy
1,연도,time_key,기타,해당없음,NULL이면 값 누락 여부 확인
2,학제,simple_category,단순 범주: 집단 구분용 범주값,해당없음,NULL이면 값 누락 여부 확인
3,대학원구분,conditional_category,조건부 범주: 대학원 행에만 값이 필요하고 비대학원 행의 빈칸은 해당없음,해당없음,"학위과정=대학원과정이면 값 필요, 그 외 NULL은 해당없음"
4,학교명,entity_identifier,식별자: 키 구성과 중복 점검에 필요,해당없음,NULL이면 값 누락 여부 확인
5,학교상태,simple_category,단순 범주: 집단 구분용 범주값,해당없음,NULL이면 값 누락 여부 확인
6,본분교,simple_category,단순 범주: 집단 구분용 범주값,해당없음,NULL이면 값 누락 여부 확인
7,시도,simple_category,단순 범주: 집단 구분용 범주값,해당없음,NULL이면 값 누락 여부 확인
8,시군구,simple_category,단순 범주: 집단 구분용 범주값,해당없음,NULL이면 값 누락 여부 확인
9,설립,simple_category,단순 범주: 집단 구분용 범주값,해당없음,NULL이면 값 누락 여부 확인
10,주야구분,simple_category,단순 범주: 집단 구분용 범주값,해당없음,NULL이면 값 누락 여부 확인
11,주소,contact_reference_optional,참조 정보: 분석 핵심 변수는 아니며 빈칸은 연락처/URL 누락,해당없음,NULL이면 값 누락 여부 확인
12,우편번호,contact_reference_optional,참조 정보: 분석 핵심 변수는 아니며 빈칸은 연락처/URL 누락,해당없음,NULL이면 값 누락 여부 확인
13,전화번호,contact_reference_optional,참조 정보: 분석 핵심 변수는 아니며 빈칸은 연락처/URL 누락,해당없음,분석 핵심 결측은 아니고 참조정보 누락으로 분리
14,팩스번호,contact_reference_optional,참조 정보: 분석 핵심 변수는 아니며 빈칸은 연락처/URL 누락,해당없음,분석 핵심 결측은 아니고 참조정보 누락으로 분리
15,홈페이지,contact_reference_optional,참조 정보: 분석 핵심 변수는 아니며 빈칸은 연락처/URL 누락,해당없음,분석 핵심 결측은 아니고 참조정보 누락으로 분리
16,학위과정,simple_category,단순 범주: 집단 구분용 범주값,해당없음,NULL이면 값 누락 여부 확인
