model_id,coding,alias_type,group_id,encoded_features,recommended_exclusion
P3_Q,onehot_full,svd_nullspace_perfect_alias,P3_Q_onehot_full_SVD_001,campus_branch_분교|campus_branch_|school_type_산업대학|school_type_대학교|school_type_교육대학|degree_course_대학과정|major_group_7_ART|major_group_7_EDU,use treatment coding or remove hierarchical source features
P3_Q,onehot_full,svd_nullspace_perfect_alias,P3_Q_onehot_full_SVD_002,degree_course_대학과정|campus_branch_분교|campus_branch_|school_type_대학교|school_type_산업대학|school_type_교육대학|region_sido_전남|region_sido_경북,use treatment coding or remove hierarchical source features
P3_Q,onehot_full,svd_nullspace_perfect_alias,P3_Q_onehot_full_SVD_003,degree_course_대학과정|major_group_7_EDU|major_group_7_SOC|major_group_7_ART|major_group_7_HUM|major_group_7_ENG|major_group_7_MED|major_group_7_NAT,use treatment coding or remove hierarchical source features
P3_Q,onehot_full,svd_nullspace_perfect_alias,P3_Q_onehot_full_SVD_004,major_group_7_HUM|major_group_7_NAT|major_group_7_ENG|major_group_7_MED|major_group_7_EDU|major_group_7_SOC|major_group_7_ART|region_sido_충남,use treatment coding or remove hierarchical source features
P4_E_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_STRUCTURE_A_RATE_onehot_full_SVD_001,campus_branch_|campus_branch_분교|degree_course_대학과정|school_type_대학교|school_type_산업대학|school_type_방송통신대학교|school_type_교육대학|region_sido_인천,use treatment coding or remove hierarchical source features
P4_E_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_STRUCTURE_A_RATE_onehot_full_SVD_002,school_type_대학교|school_type_교육대학|school_type_방송통신대학교|school_type_산업대학|major_group_7_SOC|major_group_7_ART|major_group_7_NAT|major_group_7_HUM,use treatment coding or remove hierarchical source features
P4_E_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_STRUCTURE_A_RATE_onehot_full_SVD_003,region_sido_대구|region_sido_인천|region_sido_경북|region_sido_광주|region_sido_경기|region_sido_서울|region_sido_충남|region_sido_전북,use treatment coding or remove hierarchical source features
P4_E_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_STRUCTURE_A_RATE_onehot_full_SVD_004,degree_course_대학과정|school_type_방송통신대학교|school_type_교육대학|school_type_산업대학|school_type_대학교|major_group_7_ART|major_group_7_SOC|major_group_7_EDU,use treatment coding or remove hierarchical source features
P4_E_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_SELECTIVITY_A_RATE_onehot_full_SVD_001,campus_branch_분교|campus_branch_|degree_course_대학과정|school_type_대학교|school_type_산업대학|school_type_교육대학|region_sido_광주|region_sido_경북,use treatment coding or remove hierarchical source features
P4_E_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_SELECTIVITY_A_RATE_onehot_full_SVD_002,degree_course_대학과정|major_group_7_NAT|major_group_7_ENG|major_group_7_HUM|major_group_7_MED|major_group_7_EDU|major_group_7_ART|major_group_7_SOC,use treatment coding or remove hierarchical source features
P4_E_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_SELECTIVITY_A_RATE_onehot_full_SVD_003,region_sido_전남|region_sido_대전|region_sido_충남|region_sido_인천|region_sido_서울|region_sido_광주|region_sido_부산|region_sido_경기,use treatment coding or remove hierarchical source features
P4_E_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_SELECTIVITY_A_RATE_onehot_full_SVD_004,school_type_산업대학|school_type_대학교|school_type_교육대학|degree_course_대학과정|major_group_7_NAT|major_group_7_EDU|major_group_7_HUM|major_group_7_ENG,use treatment coding or remove hierarchical source features
P4_P_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_STRUCTURE_A_RATE_onehot_full_SVD_001,degree_course_대학과정|major_group_7_EDU|major_group_7_MED|major_group_7_ART|major_group_7_HUM|major_group_7_ENG|major_group_7_SOC|major_group_7_NAT,use treatment coding or remove hierarchical source features
P4_P_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_STRUCTURE_A_RATE_onehot_full_SVD_002,campus_branch_분교|campus_branch_|region_sido_세종|region_sido_울산|region_sido_인천|region_sido_강원|region_sido_충남|region_sido_경기,use treatment coding or remove hierarchical source features
P4_P_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_STRUCTURE_A_RATE_onehot_full_SVD_003,degree_course_대학과정|school_type_대학교|school_type_교육대학|school_type_산업대학|school_type_방송통신대학교|school_type_각종대학(대학)|campus_branch_|campus_branch_분교,use treatment coding or remove hierarchical source features
P4_P_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_STRUCTURE_A_RATE_onehot_full_SVD_004,school_type_방송통신대학교|school_type_산업대학|school_type_대학교|school_type_교육대학|school_type_각종대학(대학)|campus_branch_|campus_branch_분교|region_sido_전북,use treatment coding or remove hierarchical source features
P4_P_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_SELECTIVITY_A_RATE_onehot_full_SVD_001,degree_course_대학과정|school_type_대학교|school_type_교육대학|school_type_산업대학|campus_branch_|campus_branch_분교|region_sido_전남|region_sido_경기,use treatment coding or remove hierarchical source features
P4_P_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_SELECTIVITY_A_RATE_onehot_full_SVD_002,degree_course_대학과정|campus_branch_분교|campus_branch_|region_sido_세종|region_sido_부산|region_sido_대전|region_sido_경남|region_sido_대구,use treatment coding or remove hierarchical source features
P4_P_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_SELECTIVITY_A_RATE_onehot_full_SVD_003,campus_branch_|campus_branch_분교|school_type_교육대학|school_type_대학교|school_type_산업대학|major_group_7_ENG|major_group_7_ART|major_group_7_NAT,use treatment coding or remove hierarchical source features
P4_P_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_SELECTIVITY_A_RATE_onehot_full_SVD_004,major_group_7_EDU|major_group_7_SOC|major_group_7_MED|major_group_7_ART|major_group_7_ENG|major_group_7_HUM|major_group_7_NAT|school_type_대학교,use treatment coding or remove hierarchical source features
P4_E_JOINT_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_JOINT_STRUCTURE_A_RATE_onehot_full_SVD_001,campus_branch_|campus_branch_분교|degree_course_대학과정|school_type_대학교|school_type_산업대학|school_type_방송통신대학교|school_type_교육대학|region_sido_인천,use treatment coding or remove hierarchical source features
P4_E_JOINT_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_JOINT_STRUCTURE_A_RATE_onehot_full_SVD_002,school_type_대학교|school_type_교육대학|school_type_방송통신대학교|school_type_산업대학|major_group_7_SOC|major_group_7_ART|major_group_7_NAT|major_group_7_HUM,use treatment coding or remove hierarchical source features
P4_E_JOINT_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_JOINT_STRUCTURE_A_RATE_onehot_full_SVD_003,region_sido_대구|region_sido_인천|region_sido_경북|region_sido_광주|region_sido_경기|region_sido_서울|region_sido_충남|region_sido_전북,use treatment coding or remove hierarchical source features
P4_E_JOINT_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_JOINT_STRUCTURE_A_RATE_onehot_full_SVD_004,degree_course_대학과정|school_type_방송통신대학교|school_type_교육대학|school_type_산업대학|school_type_대학교|major_group_7_ART|major_group_7_SOC|major_group_7_EDU,use treatment coding or remove hierarchical source features
P4_P_JOINT_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_JOINT_STRUCTURE_A_RATE_onehot_full_SVD_001,campus_branch_|campus_branch_분교|degree_course_대학과정|school_type_대학교|school_type_산업대학|school_type_방송통신대학교|school_type_교육대학|region_sido_인천,use treatment coding or remove hierarchical source features
P4_P_JOINT_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_JOINT_STRUCTURE_A_RATE_onehot_full_SVD_002,school_type_대학교|school_type_교육대학|school_type_방송통신대학교|school_type_산업대학|major_group_7_SOC|major_group_7_ART|major_group_7_NAT|major_group_7_HUM,use treatment coding or remove hierarchical source features
P4_P_JOINT_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_JOINT_STRUCTURE_A_RATE_onehot_full_SVD_003,region_sido_대구|region_sido_인천|region_sido_경북|region_sido_광주|region_sido_경기|region_sido_서울|region_sido_충남|region_sido_전북,use treatment coding or remove hierarchical source features
P4_P_JOINT_STRUCTURE_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_JOINT_STRUCTURE_A_RATE_onehot_full_SVD_004,degree_course_대학과정|school_type_방송통신대학교|school_type_교육대학|school_type_산업대학|school_type_대학교|major_group_7_ART|major_group_7_SOC|major_group_7_EDU,use treatment coding or remove hierarchical source features
P4_E_JOINT_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_JOINT_SELECTIVITY_A_RATE_onehot_full_SVD_001,campus_branch_분교|campus_branch_|degree_course_대학과정|school_type_대학교|school_type_산업대학|school_type_교육대학|region_sido_광주|region_sido_경북,use treatment coding or remove hierarchical source features
P4_E_JOINT_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_JOINT_SELECTIVITY_A_RATE_onehot_full_SVD_002,degree_course_대학과정|major_group_7_NAT|major_group_7_ENG|major_group_7_HUM|major_group_7_MED|major_group_7_EDU|major_group_7_ART|major_group_7_SOC,use treatment coding or remove hierarchical source features
P4_E_JOINT_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_JOINT_SELECTIVITY_A_RATE_onehot_full_SVD_003,region_sido_전남|region_sido_대전|region_sido_충남|region_sido_인천|region_sido_서울|region_sido_광주|region_sido_부산|region_sido_경기,use treatment coding or remove hierarchical source features
P4_E_JOINT_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_E_JOINT_SELECTIVITY_A_RATE_onehot_full_SVD_004,school_type_산업대학|school_type_대학교|school_type_교육대학|degree_course_대학과정|major_group_7_NAT|major_group_7_EDU|major_group_7_HUM|major_group_7_ENG,use treatment coding or remove hierarchical source features
P4_P_JOINT_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_JOINT_SELECTIVITY_A_RATE_onehot_full_SVD_001,campus_branch_분교|campus_branch_|degree_course_대학과정|school_type_대학교|school_type_산업대학|school_type_교육대학|region_sido_광주|region_sido_경북,use treatment coding or remove hierarchical source features
P4_P_JOINT_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_JOINT_SELECTIVITY_A_RATE_onehot_full_SVD_002,degree_course_대학과정|major_group_7_NAT|major_group_7_ENG|major_group_7_HUM|major_group_7_MED|major_group_7_EDU|major_group_7_ART|major_group_7_SOC,use treatment coding or remove hierarchical source features
P4_P_JOINT_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_JOINT_SELECTIVITY_A_RATE_onehot_full_SVD_003,region_sido_전남|region_sido_대전|region_sido_충남|region_sido_인천|region_sido_서울|region_sido_광주|region_sido_부산|region_sido_경기,use treatment coding or remove hierarchical source features
P4_P_JOINT_SELECTIVITY_A_RATE,onehot_full,svd_nullspace_perfect_alias,P4_P_JOINT_SELECTIVITY_A_RATE_onehot_full_SVD_004,school_type_산업대학|school_type_대학교|school_type_교육대학|degree_course_대학과정|major_group_7_NAT|major_group_7_EDU|major_group_7_HUM|major_group_7_ENG,use treatment coding or remove hierarchical source features
