target,blocked_feature,policy
employment_rate_pct,employment_rate_pct,keep_blocked
employment_rate_pct,has_employment,keep_blocked
graduate_school_progression_rate_pct,domestic_progression_rate_pct,keep_blocked
graduate_school_progression_rate_pct,has_progression,keep_blocked
graduate_school_progression_rate_pct,overseas_progression_rate_pct,keep_blocked
graduate_school_progression_rate_pct,progression_rate_pct,keep_blocked
graduate_school_progression_rate_pct,university_progression_rate_pct,keep_blocked
graduate_school_progression_rate_pct,vocational_college_progression_rate_pct,keep_blocked
health_employment_rate_pct,employment_rate_pct,keep_blocked
health_employment_rate_pct,has_employment,keep_blocked
progression_rate_pct,domestic_progression_rate_pct,keep_blocked
progression_rate_pct,has_progression,keep_blocked
progression_rate_pct,overseas_progression_rate_pct,keep_blocked
progression_rate_pct,progression_rate_pct,keep_blocked
progression_rate_pct,university_progression_rate_pct,keep_blocked
progression_rate_pct,vocational_college_progression_rate_pct,keep_blocked
