column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,11,0,0.0,11,전체 | 경영·사무·금융·보험직 | 연구직 및 공학 기술직 | 교육·법률·사회복지·경찰·소방직 및 군인 | 보건·의료직
2,2017__전체__빈도,int64,11,0,0.0,11,375185 | 105174 | 62362 | 54075 | 43678
3,2017__전체__비중,float64,11,0,0.0,11,100.0 | 28.0 | 16.6 | 14.4 | 11.6
4,2017__인문__빈도,int64,11,0,0.0,11,31193 | 15048 | 1180 | 4817 | 273
5,2017__인문__비중,float64,11,0,0.0,11,100.0 | 48.2 | 3.7 | 15.4 | 0.8
6,2017__사회__빈도,int64,11,0,0.0,11,101034 | 52743 | 3786 | 16435 | 2174
7,2017__사회__비중,float64,11,0,0.0,11,100.0 | 52.2 | 3.7 | 16.2 | 2.1
8,2017__교육__빈도,int64,11,0,0.0,11,22230 | 2300 | 228 | 17190 | 538
9,2017__교육__비중,float64,11,0,0.0,10,100.0 | 10.3 | 1.0 | 77.3 | 2.4
10,2017__공학__빈도,int64,11,0,0.0,11,92952 | 15955 | 44238 | 5178 | 1199
11,2017__공학__비중,float64,11,0,0.0,11,100.0 | 17.1 | 47.5 | 5.5 | 1.2
12,2017__자연__빈도,int64,11,0,0.0,11,35582 | 8956 | 9687 | 3016 | 3051
13,2017__자연__비중,float64,11,0,0.0,11,100.0 | 25.1 | 27.2 | 8.4 | 8.5
14,2017__의약__빈도,int64,11,0,0.0,11,44513 | 2336 | 1718 | 1144 | 36124
15,2017__의약__비중,float64,11,0,0.0,9,100.0 | 5.2 | 3.8 | 2.5 | 81.1
16,2017__예체능__빈도,int64,11,0,0.0,11,47677 | 7833 | 1521 | 6294 | 317
17,2017__예체능__비중,float64,11,0,0.0,11,100.0 | 16.4 | 3.1 | 13.2 | 0.6
18,2018__전체__빈도,int64,11,0,0.0,11,364497 | 100544 | 64970 | 47144 | 41838
19,2018__전체__비중,float64,11,0,0.0,10,100.0 | 27.5 | 17.8 | 12.9 | 11.4
20,2018__인문__빈도,int64,11,0,0.0,11,29824 | 14155 | 1408 | 4220 | 391
21,2018__인문__비중,float64,11,0,0.0,11,100.0 | 47.4 | 4.7 | 14.1 | 1.3
22,2018__사회__빈도,int64,11,0,0.0,11,94556 | 49343 | 3883 | 14413 | 944
23,2018__사회__비중,float64,11,0,0.0,11,100.0 | 52.1 | 4.1 | 15.2 | 0.9
24,2018__교육__빈도,int64,11,0,0.0,11,21724 | 2723 | 202 | 16320 | 766
25,2018__교육__비중,float64,11,0,0.0,10,100.0 | 12.5 | 0.9 | 75.1 | 3.5
26,2018__공학__빈도,int64,11,0,0.0,11,92937 | 15382 | 43635 | 4234 | 941
27,2018__공학__비중,float64,11,0,0.0,11,100.0 | 16.5 | 46.9 | 4.5 | 1.0
28,2018__자연__빈도,int64,11,0,0.0,11,35622 | 9249 | 10982 | 2191 | 2320
29,2018__자연__비중,float64,11,0,0.0,10,100.0 | 25.9 | 30.8 | 6.1 | 6.5
30,2018__의약__빈도,int64,11,0,0.0,11,45877 | 2830 | 2631 | 1193 | 36073
31,2018__의약__비중,float64,11,0,0.0,11,100.0 | 6.1 | 5.7 | 2.6 | 78.6
32,2018__예체능__빈도,int64,11,0,0.0,11,43953 | 6859 | 2226 | 4571 | 401
33,2018__예체능__비중,float64,11,0,0.0,11,100.0 | 15.6 | 5.0 | 10.4 | 0.9
34,2019__전체__빈도,int64,11,0,0.0,11,322219 | 93008 | 56621 | 41046 | 42865
35,2019__전체__비중,float64,11,0,0.0,11,100.0 | 28.8 | 17.5 | 12.7 | 13.3
36,2019__인문__빈도,int64,11,0,0.0,11,24323 | 12582 | 1019 | 3034 | 129
37,2019__인문__비중,float64,11,0,0.0,11,100.0 | 51.7 | 4.1 | 12.4 | 0.5
38,2019__사회__빈도,int64,11,0,0.0,11,82018 | 45235 | 2795 | 12705 | 1460
39,2019__사회__비중,float64,11,0,0.0,11,100.0 | 55.1 | 3.4 | 15.4 | 1.7
40,2019__교육__빈도,int64,11,0,0.0,11,19237 | 2060 | 98 | 15279 | 254
41,2019__교육__비중,float64,11,0,0.0,11,100.0 | 10.7 | 0.5 | 79.4 | 1.3
42,2019__공학__빈도,int64,11,0,0.0,11,82342 | 14831 | 40607 | 3716 | 979
43,2019__공학__비중,float64,11,0,0.0,11,100.0 | 18.0 | 49.3 | 4.5 | 1.1
44,2019__자연__빈도,int64,11,0,0.0,11,30843 | 8081 | 9147 | 1925 | 1833
45,2019__자연__비중,float64,11,0,0.0,11,100.0 | 26.2 | 29.6 | 6.2 | 5.9
46,2019__의약__빈도,int64,11,0,0.0,10,44457 | 2198 | 1749 | 639 | 37453
47,2019__의약__비중,float64,11,0,0.0,9,100.0 | 4.9 | 3.9 | 1.4 | 84.2
48,2019__예체능__빈도,int64,11,0,0.0,11,38996 | 8017 | 1203 | 3746 | 753
49,2019__예체능__비중,float64,11,0,0.0,11,100.0 | 20.5 | 3.0 | 9.6 | 1.9
