column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,11,0,0.0,11,전체 | 경영·사무·금융·보험직 | 연구직 및 공학 기술직 | 교육·법률·사회복지·경찰·소방직 및 군인 | 보건·의료직
2,2017__전체__빈도,int64,11,0,0.0,11,375185 | 105174 | 62362 | 54075 | 43678
3,2017__전체__비중,float64,11,0,0.0,11,100.0 | 28.0 | 16.6 | 14.4 | 11.6
4,2017__전문대__빈도,int64,11,0,0.0,11,127636 | 24428 | 11435 | 16942 | 24329
5,2017__전문대__비중,float64,11,0,0.0,10,100.0 | 19.1 | 8.9 | 13.2 | 19.0
6,2017__4년제__빈도,int64,11,0,0.0,11,244161 | 80746 | 50927 | 33744 | 19348
7,2017__4년제__비중,float64,11,0,0.0,10,100.0 | 33.0 | 20.8 | 13.8 | 7.9
8,2017__교육대__빈도,int64,11,0,0.0,2,3388 | 0
9,2017__교육대__비중,float64,11,0,0.0,2,100.0 | 0.0
10,2018__전체__빈도,int64,11,0,0.0,11,364497 | 100544 | 64970 | 47144 | 41838
11,2018__전체__비중,float64,11,0,0.0,10,100.0 | 27.5 | 17.8 | 12.9 | 11.4
12,2018__전문대__빈도,int64,11,0,0.0,11,122953 | 23988 | 12897 | 14017 | 21658
13,2018__전문대__비중,float64,11,0,0.0,11,100.0 | 19.5 | 10.4 | 11.4 | 17.6
14,2018__4년제__빈도,int64,11,0,0.0,11,238270 | 76536 | 52073 | 29885 | 20180
15,2018__4년제__비중,float64,11,0,0.0,9,100.0 | 32.1 | 21.8 | 12.5 | 8.4
16,2018__교육대__빈도,int64,11,0,0.0,5,3273 | 19 | 0 | 3241 | 11
17,2018__교육대__비중,float64,11,0,0.0,5,100.0 | 0.5 | 0.0 | 99.0 | 0.3
18,2019__전체__빈도,int64,11,0,0.0,11,322219 | 93008 | 56621 | 41046 | 42865
19,2019__전체__비중,float64,11,0,0.0,11,100.0 | 28.8 | 17.5 | 12.7 | 13.3
20,2019__전문대__빈도,int64,11,0,0.0,11,109345 | 20622 | 11921 | 12646 | 23192
21,2019__전문대__비중,float64,11,0,0.0,11,100.0 | 18.8 | 10.9 | 11.5 | 21.2
22,2019__4년제__빈도,int64,11,0,0.0,11,209580 | 72386 | 44699 | 25116 | 19673
23,2019__4년제__비중,float64,11,0,0.0,11,100.0 | 34.5 | 21.3 | 11.9 | 9.3
24,2019__교육대__빈도,int64,11,0,0.0,4,3294 | 0 | 3283 | 10
25,2019__교육대__비중,float64,11,0,0.0,4,100.0 | 0.0 | 99.6 | 0.3
