audit,key,row_n,school_n,status
major_group_7_distribution,ART,1566,166.0,PASS
major_group_7_distribution,EDU,728,130.0,PASS
major_group_7_distribution,ENG,2642,157.0,PASS
major_group_7_distribution,HUM,1108,157.0,PASS
major_group_7_distribution,MED,632,126.0,PASS
major_group_7_distribution,NAT,1258,142.0,PASS
major_group_7_distribution,SOC,2165,172.0,PASS
major_group_7_distribution,,143,45.0,WARN
major7_mapping_method,inherited_headcount,8561,,PASS
major7_mapping_method,keyword_rule,859,,PASS
major7_mapping_method,exact_dictionary,679,,PASS
major7_mapping_method,ambiguous,85,,PASS
major7_mapping_method,unknown,58,,PASS
major7_mapping_confidence,high,8561,,PASS
major7_mapping_confidence,medium,1538,,PASS
major7_mapping_confidence,low,85,,PASS
major7_mapping_confidence,unknown,58,,PASS
major7_review_needed,False,10099,,PASS
major7_review_needed,True,143,,PASS
major7_candidate_count,1,10121,,PASS
major7_candidate_count,0,58,,PASS
major7_candidate_count,2,58,,PASS
major7_candidate_count,3,3,,PASS
major7_candidate_count,4,2,,PASS
same_school_dept_multiple_major7,ALL,0,,PASS
