major_group_7,outcome,grade_signal,allowed_sentence,guardrail
ART,HEALTH_EMPLOYMENT,RAW_A,ART 계열에서는 RAW_A과 HEALTH_EMPLOYMENT 사이에 음의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
ART,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,ART 계열에서는 WITHIN_MAJOR_A과 HEALTH_EMPLOYMENT 사이에 음의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
ART,GRAD_SCHOOL_PROGRESSION,RAW_A,ART 계열에서는 RAW_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
ART,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,ART 계열에서는 WITHIN_MAJOR_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
EDU,HEALTH_EMPLOYMENT,RAW_A,EDU 계열에서는 RAW_A과 HEALTH_EMPLOYMENT 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
EDU,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,EDU 계열에서는 WITHIN_MAJOR_A과 HEALTH_EMPLOYMENT 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
EDU,GRAD_SCHOOL_PROGRESSION,RAW_A,EDU 계열에서는 RAW_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
EDU,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,EDU 계열에서는 WITHIN_MAJOR_A과 GRAD_SCHOOL_PROGRESSION 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
ENG,HEALTH_EMPLOYMENT,RAW_A,ENG 계열에서는 RAW_A과 HEALTH_EMPLOYMENT 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
ENG,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,ENG 계열에서는 WITHIN_MAJOR_A과 HEALTH_EMPLOYMENT 사이에 양의 조건부 기울기가 관찰됐다.,탐색적 조건부 기울기이며 인과효과 또는 context 효과로 해석하지 않는다.
